Sample,CON 13,CON 14,CON 15,CON 16,CON 17,CON 18,L 13,L 14,L 15,L 16,L 17,L 18,LN 13,LN 14,LN 15,LN 16,LN 17,LN 18,N 13,N 14,N 15,N 16,N 17,N 18,Z 13,Z 14,Z 15,Z 16,Z 17,Z 18,ZL 15,ZL 16,ZL 17,ZL 18,ZLN 13,ZLN 14,ZLN 15,ZLN 16,ZLN 17,ZLN 18,ZN 13,ZN 14,ZN 15,ZN 16,ZN 17,ZN 18
Class,1_Con,1_Con,1_Con,1_Con,1_Con,1_Con,3_L,3_L,3_L,3_L,3_L,3_L,7_LN,7_LN,7_LN,7_LN,7_LN,7_LN,4_N,4_N,4_N,4_N,4_N,4_N,2_Z,2_Z,2_Z,2_Z,2_Z,2_Z,5_ZL,5_ZL,5_ZL,5_ZL,8_ZLN,8_ZLN,8_ZLN,8_ZLN,8_ZLN,8_ZLN,6_ZN,6_ZN,6_ZN,6_ZN,6_ZN,6_ZN
7.027933,1500,2500,2500,1500,7488,2500,1500,2500,1500,1500,2500,8447,1500,12948,16346,6563,19626,1500,1500,1500,1500,2500,4507,6620,7472,2500,2500,1500,2500,2500,1500,1500,1500,2500,1500,1500,2500,23142,2500,6002,2500,2500,2500,8744,5658,1500
7.035533,5687,1500,1500,1500,6400,1500,2500,5049,2586,2500,4229,4768,3145,2500,5668,1500,2500,8278,2500,4685,2500,3852,4660,3488,2500,1500,5308,1500,2299,1500,1500,5678,2500,1500,2500,2500,1500,2500,5427,2500,1500,2500,1500,2500,2500,1500
7.043117,6548,1500,1500,1500,1500,1500,2500,2500,2500,3986,1500,1500,2500,2500,1500,1500,10978,1500,2500,1500,5658,2500,1500,1500,12852,1500,2500,1500,1500,1500,1500,3854,2500,4197,2500,2500,4954,2500,4938,6732,1500,7516,1500,2735,2500,8725
7.0507,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,3080,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,4304,1500,1500,2500,1500,1500,2500,1500,1500,1500,2500,1500,2500,1500,1500,2500
7.0583,2276,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2716,2500,1500,2500,1500,2698,2196,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,6251,1500,1500,2500,1500,2500,1500,1500,2500
7.065883,2500,1500,2907,1500,1500,1500,2500,2500,2500,2500,1500,1500,2500,2500,1500,1500,2500,1500,2500,1500,2500,2500,1500,1500,2500,1500,2500,1500,4472,1500,1500,4497,2500,1500,2500,2500,1500,37972,2500,2500,1500,2500,1500,2500,2500,1500
7.073467,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,4245,1500,1500,2500,1500,2500,1500,1500,2500
7.081067,1500,2500,2500,2500,2500,4457,1500,1500,1500,3323,2500,2500,1500,1500,2500,2886,1500,2500,1500,2886,1500,1500,2500,2500,1500,2500,4345,2500,3937,2500,2500,1500,1500,2500,1500,1500,2500,9150,1500,1500,2500,1500,2500,1500,1500,2500
7.08865,1500,4252,2500,2500,2500,8348,1500,1500,1500,1500,2500,7635,1500,11892,2500,7995,1500,2500,7933,2500,1500,4293,4427,6183,1500,2500,3504,2500,2500,2500,10501,1500,1500,2500,9067,8489,2500,21959,1500,1500,2500,1500,2500,1500,5097,2500
7.096233,1500,2500,2500,2500,2500,2500,1500,4254,1500,1500,2500,2500,1500,1500,2638,2500,1500,2500,1500,2500,1500,4216,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,1500,1500,1500,2500,1500,2500,1500,1500,2500
7.103833,7515,6166,4197,1500,4644,12524,2500,4518,2500,4308,3101,5525,2500,2500,5446,1500,3801,4602,14470,3340,2500,4641,3579,5881,2500,1500,6573,10742,2850,3043,14692,2500,7215,1500,10824,7410,1500,34930,2500,2500,1500,2500,7626,2500,4777,5438
7.111417,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2815,1500,1500,2500,2500,3423,2500,1500,2500,1500,1500,2500,2500,3400,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,12729,1500,3277,2500,1500,2500,1500,1500,3128
7.119,2168,2500,2500,2500,2500,2500,1500,5074,2716,1500,2500,2500,1500,1500,4284,3965,1500,2500,1500,2572,1500,1500,3527,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,1500,1500,3178,2500,1500,2500,8991,1500,2500
7.126583,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,8809,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,6085,1500,7445,3327,12161,2500,2500,2500,1500,1500,2500,1500,4364,2500,1500,1500,1500,2500,1500,2500,11509,1500,2500
7.134183,2500,1500,4224,15038,1500,1500,2500,2500,7787,2500,1500,1500,2500,6043,1500,1500,2500,1500,2500,1500,2500,2500,1500,1500,2500,1500,2500,8271,1500,1500,1500,2500,2500,1500,2500,2500,1500,2500,2500,2500,2409,2500,1500,2500,2500,1500
7.141767,1500,2500,2500,5124,2500,2500,1500,1500,3692,1500,2500,2500,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2700,2500,2500,2500,1500,1500,2500,1500,1500,2500,1500,1500,1500,2542,1500,2500,1500,1500,2500
7.14935,2129,2500,2500,2500,2500,3916,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,3361,2500,2500,2500,5354,2015,1500,2500,1500,1500,2500,1500,1500,1500,2500,1500,2500,1500,2065,2500
7.15695,1500,2500,2500,3869,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,4590,2500,2500,2500,1500,1500,2500,1500,1500,2500,2905,1500,1500,2500,1500,2500,1500,1500,2500
7.172117,1500,2500,2500,2500,2710,3966,1500,3204,1500,1500,2500,2500,1500,1500,2500,3762,4784,3372,1500,2500,2379,3740,3158,2500,3599,2500,2198,2500,2500,2500,4890,2309,1500,2500,1500,1500,2500,1500,1500,4018,2500,3542,2500,3301,1500,2500
7.1873,1500,2500,2500,3429,2500,6975,1500,1500,1500,1500,2500,5890,9015,13518,14179,18811,10564,8088,1500,13709,11758,12812,16062,2500,1500,8303,12702,2500,10400,2500,2500,9146,1500,2500,1500,1500,2500,1500,16006,11691,2500,13724,2500,1500,1500,2500
7.194883,2500,3687,1500,1500,1500,1500,2500,2500,4807,2500,1500,1500,2500,2500,1500,45097,25061,28158,2500,1500,2500,2500,44375,1500,2500,45128,2500,1500,1500,1500,10381,2500,2500,1500,2500,2500,1500,2500,2500,22193,1500,2500,1500,2500,2500,1500
7.202483,1500,2500,2500,2500,2500,2500,1500,2781,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,2227,1500,2500,1500,1500,2714,3587,2099,1500,2500,1500,2500,2106,1500,2500
7.210067,36660,1500,1500,1500,49033,17425,2500,57732,2500,57517,63086,34044,32711,50275,47069,1500,2500,1500,2500,53814,34384,44989,1500,39960,2500,1500,44939,23444,37043,1500,1500,49379,2500,76288,2500,2500,1500,2500,65145,69096,22604,44355,1500,31484,47498,46971
7.21765,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,2752,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,1500,2392,1500,2500,1500,2500,1500,1500,2500
7.22525,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2700,2500,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,1500,1500,2973,2500,1500,2500,1500,1500,2500
7.232833,12409,2500,2500,2500,2500,2500,1500,1500,3339,1500,2500,11544,1500,1500,2500,2500,1500,2500,1500,2500,1500,15359,2500,2500,1500,6426,16507,2500,9970,2500,2500,1500,1500,2500,1500,1500,2500,2960,1500,1500,2500,1500,2500,1500,1500,2500
7.240417,2500,1500,3215,1500,1500,1500,2500,2818,2500,4077,2946,1500,2500,2613,1500,3425,2500,1500,2500,2458,2500,2887,4263,1500,2500,3219,2500,1500,3303,1500,1500,2500,4165,3784,2500,2500,3429,2500,3020,3259,1500,2667,1500,2500,2952,1500
7.248017,1500,2500,8560,2500,27645,2500,7282,17245,1500,10433,18017,2500,9635,13021,24446,17730,31590,23122,1500,19215,20069,1500,16402,5980,34520,2500,1500,2500,2500,9220,2500,18431,1500,11251,1500,1500,24161,2941,20993,34695,4657,18429,2500,10990,8740,23488
7.2556,1500,6937,10757,2500,2500,9089,1500,1500,1500,1500,2500,6674,1500,12795,2500,2500,1500,2500,10609,2500,1500,1500,2500,2500,1500,5052,1500,11634,2500,4314,6070,1500,5739,2500,9516,11486,2500,1500,7692,1500,2500,1500,2500,1500,1500,2500
7.263183,1500,4308,5807,2500,2500,5360,1500,3460,1500,1500,2500,2500,1500,1500,2500,2500,4238,2500,7882,2500,1500,1500,2500,2500,4730,2500,1500,2500,2500,2500,4503,1500,1500,2500,1500,5274,6250,1500,1500,1500,2500,1500,2500,2797,1500,2500
7.270783,2500,51498,68622,1500,1500,70347,22820,15652,2500,2500,1500,1500,2500,10523,1500,16827,49597,22223,98471,17320,18573,2500,1500,1500,64154,1500,2500,1500,1500,35709,65801,15700,46614,1500,66018,62781,66161,2500,20009,2500,1500,20322,26577,2500,2500,1500
7.278367,1500,2500,2500,9835,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,1500,1500,1500,2500,1500,2500,1500,1500,2500
7.293533,1500,2500,2500,2500,2895,2500,1500,1500,1500,1500,2500,2500,1500,2084,2500,2500,3031,2500,1500,2500,2351,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,3267,4211,1500,1500,2500,1500,2500,2752,1500,2500
7.301133,2500,1500,11270,1500,24117,1500,8207,2500,2500,2500,17479,1500,2500,2500,21206,1500,2500,1500,2500,1500,2500,2500,1500,1500,2500,1500,2500,1500,1500,10921,1500,2500,2500,1500,2500,2500,1500,2500,2500,2500,1500,2500,1500,2500,2500,20619
7.308717,5607,2500,2500,2500,3706,2500,1500,1500,1500,1500,5246,2500,1500,1500,8770,2500,6294,2500,1500,2740,6049,1500,2500,2500,8564,2500,3196,2500,2500,2500,2500,1500,1500,2500,1500,1500,5899,12241,5599,6142,2500,3205,2500,1500,2388,2500
7.3163,2464,2500,2500,2500,2500,2500,1500,4511,1500,1500,2500,2500,1500,1500,2904,2500,1500,2500,1500,3098,1500,4228,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2787,3753,2107,1500,2500,1500,2500,1500,1500,2500
7.3239,2500,3803,1500,1500,4500,4017,2500,2500,2500,2500,1500,1500,2500,2500,2406,1500,3082,1500,6959,2066,2500,2500,1500,1500,5662,1500,2500,1500,1500,1500,5635,2500,2500,1500,2500,2500,2796,2500,2500,3436,1500,2500,1500,2500,2500,1500
7.331483,1500,2500,2500,2500,3492,4800,1500,1500,1500,1500,2500,2500,1500,1500,3222,2500,3959,2500,1500,2500,1500,1500,2500,2500,4352,2500,1500,2500,2500,2500,5482,1500,1500,2500,1500,1500,2924,1500,1500,4376,2500,1500,2500,1500,1500,3065
7.339067,5629,19932,1500,1500,4375,33576,2500,3070,2500,2500,2918,3238,2500,2500,3515,1500,27482,4118,41896,2687,3169,3108,3320,2111,30153,2662,4053,5758,1500,1500,33777,2885,19733,1500,20481,18066,20101,18191,4693,24553,1500,4061,16246,3101,2500,5178
7.346667,1500,18217,2500,2500,2500,41449,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,50384,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,44924,1500,18340,2500,20026,16545,2500,1500,1500,1500,2500,1500,14618,1500,1500,2500
7.35425,2500,1500,1500,1500,1500,1500,2500,2500,2500,2500,1500,1500,2500,4190,1500,1500,3398,1500,2500,1500,2500,2500,1500,1500,2500,1500,2500,1500,3147,1500,1500,4184,2500,1500,2500,2500,1500,2500,2500,2500,1500,2500,1500,2500,2500,1500
7.361833,1500,2500,2500,10003,2500,2500,1500,1500,6632,1500,2500,12526,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,12635,1500,14773,26517,8425,13221,2500,2500,1500,1500,2500,1500,1500,2500,3936,1500,1500,2500,1500,2500,1500,10687,2500
7.369433,2098,3813,2643,2500,5802,6020,1500,4286,1500,2990,3214,2500,1500,3062,4306,2665,4697,2572,1500,4726,2370,2147,2500,2500,7772,2500,3486,2500,2500,2500,6968,3742,1500,3607,1500,1500,3624,1500,5639,6046,2500,2913,2500,2324,1500,3740
7.377017,15665,29464,20646,2500,46460,45328,14212,34777,1500,23027,23799,2500,11318,23723,29401,19827,38977,20675,32543,38094,16861,17589,16197,2500,58726,2500,1500,2500,2500,13774,49985,27881,20707,27799,14113,18632,28560,5405,43609,43006,11123,18878,13734,17059,1500,26557
7.3846,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,1500,2268,1500,2500,2057,2500,1500,1500,2500
7.3922,2500,1500,1500,1500,1500,1500,2500,2500,2500,2500,1500,1500,2500,4438,1500,1500,2500,1500,2500,1500,2500,3478,1500,1500,2500,1500,2500,1500,3028,1500,1500,4366,2500,1500,2500,2500,4654,2500,3889,2500,1500,2500,1500,2500,2500,1500
7.414967,1500,2500,2500,2500,3831,2500,1500,1500,2930,1500,2500,5810,1500,1500,13182,4861,1500,2500,1500,2500,1500,1500,3903,2500,1500,3867,1500,8615,6072,2500,2500,1500,1500,2500,1500,1500,2500,1500,5416,1500,2500,1500,2500,1500,1500,2500
7.42255,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,3098,2306,1500,2500,1500,2500,1500,1500,2500
7.430133,2500,1500,1500,1500,1500,1500,2500,2500,2500,3792,3206,1500,2500,2862,1500,1500,5927,3811,2500,1500,3121,2500,3045,1500,7709,1500,2500,1500,1500,1500,1500,2773,2500,4590,2500,2500,1500,2500,4172,5458,1500,3462,1500,2500,2500,4778
7.437733,1500,2500,2500,2500,4156,6142,1500,1500,1500,1500,4562,2500,1500,4109,7912,2500,1500,2500,1500,2500,3410,1500,2500,2500,9833,2500,1500,2500,3316,2500,5388,1500,3878,2500,1500,1500,5716,8070,1500,6294,2500,1500,2500,1500,1500,2500
7.445317,1500,2500,2500,2500,2716,5334,1500,2218,1500,2228,2500,2500,1500,1500,3628,2500,2998,2500,1500,2500,2333,1500,2500,2500,3713,2500,2053,2500,2500,2500,2500,2222,1500,2500,1500,1500,2500,1500,3290,1500,2500,1500,2500,1500,1500,2500
7.4529,3628,6547,1500,1500,5850,11158,2500,2500,2500,2500,3614,5442,2500,2871,6002,1500,8238,1500,11306,1500,3601,3658,1500,1500,8965,1500,2500,1500,1500,1500,9588,2816,6021,1500,2500,2500,4544,3554,2716,2500,1500,3512,1500,2500,2500,1500
7.460484,2001,3662,2683,2500,5512,5406,1500,4065,1500,2896,2756,2500,1500,2827,3556,2500,4667,2500,1500,4399,1500,2003,2500,2500,6811,2500,3055,2500,2500,2500,5986,3257,1500,3376,1500,1500,3521,1500,5158,5184,2500,2154,2500,1500,1500,3191
