bin,retention_time,vlookup,significant05?,main_significant05?,Peak ID,Peak ID second,,COUNT,z_fvalue,l_fvalue,n_fvalue,zl_fvalue,zn_fvalue,ln_fvalue,zln_fvalue,,c_mean,n_mean,l_mean,ln_mean,z_mean,zn_mean,zl_mean,zln_mean,z_fvalue,l_fvalue,n_fvalue,zl_fvalue,zn_fvalue,ln_fvalue,zln_fvalue,significant05?,significant01?,main_significant05?,main_significant01?
129,6.6,6.56092,TRUE,,"alanine,1tms",,,1,,,,0.039281299,,,,,8.357,8.136,6.052,8.462,7.657,8.385,9.818,9.506,0.098192723,0.676621184,0.20367918,0.039281299,0.488889287,0.45152731,0.131250374,TRUE,FALSE,FALSE,FALSE
134,6.8,6.81383,TRUE,,,,,1,,,,0.007339062,,,,,8.25,6.494,5.74,6.739,5.774,5.784,7.606,7.919,0.843038789,0.514479051,0.926837887,0.007339062,0.642392096,0.160448283,0.280847959,TRUE,TRUE,FALSE,FALSE
139,6.9,6.87589,TRUE,,cyclohexanol,,,1,,,,0.039831823,,,,,9.243,8.887,8.231,8.666,8.292,8.507,8.805,9.305,0.905198025,0.966753801,0.485481228,0.039831823,0.625033474,0.373044385,0.683407228,TRUE,FALSE,FALSE,FALSE
140,6.9,6.8833,TRUE,,cyclohexanol,,,1,,,,0.013847148,,,,,8.81,8.929,7.465,7.927,8.443,8.542,8.808,9.111,0.1783145,0.242806435,0.378261184,0.013847148,0.875796561,0.666980226,0.913272575,TRUE,FALSE,FALSE,FALSE
141,6.9,6.91348,TRUE,,cyclohexanol,,,1,,,,0.008690896,,,,,8.196,7.812,7.09,7.402,7.239,7.376,7.691,8.638,0.7065592,0.853902883,0.400968359,0.008690896,0.388590232,0.228232252,0.926141294,TRUE,TRUE,FALSE,FALSE
142,7.1,7.12902,TRUE,,acetic acid,,,1,,,,0.032052172,,,,,8.32,8.121,7.583,8.207,8.093,7.95,9.416,9.445,0.125951352,0.203446441,0.751305552,0.032052172,0.721908542,0.511190264,0.6794411,TRUE,FALSE,FALSE,FALSE
155,7.2,7.18997,TRUE,,acetic acid,,,1,,,,0.03709655,,,,,7.81,7.81,7.458,6.894,7.691,6.754,8.275,7.777,0.829196993,0.935439222,0.170828574,0.03709655,0.493790067,0.891473461,0.457182689,TRUE,FALSE,FALSE,FALSE
159,7.3,7.25203,TRUE,,acetic acid,,,1,,,,0.027019724,,,,,6.682,6.881,5.474,6.154,6.762,5.455,7.885,6.99,0.445285513,0.864285101,0.617298154,0.027019724,0.116873362,0.64789111,0.972056853,TRUE,FALSE,FALSE,FALSE
163,7.3,7.26152,TRUE,,acetic acid,,,1,,,,0.039919911,,,,,8.798,8.765,7.775,8.518,8.323,8.523,8.947,9.092,0.412220238,0.884935413,0.300967382,0.039919911,0.755788951,0.507411936,0.476191274,TRUE,FALSE,FALSE,FALSE
165,7.3,7.2674,TRUE,,acetic acid,,,1,,,,0.045675524,,,,,10.286,10.637,9.804,10.182,9.969,9.788,10.307,10.524,0.700124584,0.932930385,0.382946255,0.045675524,0.456009392,0.682878054,0.707212182,TRUE,FALSE,FALSE,FALSE
166,7.4,7.38245,TRUE,,acetic acid,,,1,,,,0.015419255,,,,,8.506,8.573,8.043,7.717,7.972,7.696,8.733,8.586,0.980478011,0.890425849,0.649078328,0.015419255,0.88027208,0.802359178,0.660283048,TRUE,FALSE,FALSE,FALSE
178,7.7,7.74867,TRUE,,Lactic acid,,,1,,,,,0.019813983,,,,9.001,10.005,9.396,9.949,10.021,9.393,9.526,9.624,0.776749556,0.891887316,0.25387641,0.47827162,0.019813983,0.819971697,0.195707272,TRUE,FALSE,FALSE,FALSE
180,7.8,7.76387,TRUE,,Lactic acid,,,1,,,,,0.024868271,,,,8.495,9.309,8.45,9.35,9.412,8.433,8.994,9.227,0.67245711,0.721258132,0.377874347,0.734911658,0.024868271,0.275302427,0.318302159,TRUE,FALSE,FALSE,FALSE
188,8.2,8.24587,TRUE,TRUE,Valine,,,1,,,0.013357076,,,,,,6.79,5.474,6.233,6.227,6.85,4.797,6.744,6.16,0.799025061,0.4048544,0.013357076,0.460827031,0.34330696,0.080416983,0.917897444,TRUE,FALSE,TRUE,FALSE
191,8.4,8.37503,TRUE,TRUE,Alanine,,,1,,,0.047524987,,,,,,9.451,10.138,9.203,9.776,9.624,9.72,9.62,10.449,0.390025432,0.846707376,0.047524987,0.201335811,0.701092803,0.599241884,0.437043071,TRUE,FALSE,TRUE,FALSE
192,8.4,8.37869,TRUE,TRUE,Alanine,,,1,0.046099403,,,,,,,,7.542,6.618,6.427,6.33,7.389,6.914,8.346,7.243,0.046099403,0.726389588,0.074037461,0.052240626,0.708946877,0.827537238,0.269823574,TRUE,FALSE,TRUE,FALSE
193,8.4,8.37955,TRUE,,Alanine,,,1,,,,0.018522331,,,,,9.533,9.692,8.942,9.176,9.218,9.237,9.673,9.996,0.448151011,0.952140551,0.393219126,0.018522331,0.930111995,0.705411512,0.812274193,TRUE,FALSE,FALSE,FALSE
194,8.4,8.37992,TRUE,TRUE,Alanine,,,2,0.005225476,,0.046815474,,,,,,5.754,5.008,5.353,4.714,6.188,5.976,6.49,5.679,0.005225476,0.443696312,0.046815474,0.567151124,0.708721968,0.695382472,0.540379116,TRUE,TRUE,TRUE,TRUE
197,8.4,8.38606,TRUE,TRUE,Alanine,,,1,0.037670414,,,,,,,,8.793,8.377,8.132,8.016,8.946,8.892,8.971,8.476,0.037670414,0.091969579,0.265804041,0.516369596,0.972199241,0.915241332,0.41237656,TRUE,FALSE,TRUE,FALSE
198,8.4,8.3861,TRUE,TRUE,Alanine,,,1,0.00951488,,,,,,,,7.947,7.12,6.952,7.076,8.313,7.534,8.162,7.741,0.00951488,0.2441264,0.056494783,0.249350389,0.573951646,0.165250867,0.535718524,TRUE,TRUE,TRUE,TRUE
199,8.4,8.38611,TRUE,TRUE,Alanine,,,1,0.048872422,,,,,,,,6.812,6.655,6.636,6.454,7.476,6.999,7.986,7.14,0.048872422,0.964017116,0.281024234,0.505178278,0.503839591,0.791013959,0.806949293,TRUE,FALSE,TRUE,FALSE
200,8.4,8.39188,TRUE,,Alanine,,,1,,,,0.018984889,,,,,9.875,10.151,9.152,9.305,9.208,9.633,9.992,10.409,0.591822485,0.951068949,0.279435032,0.018984889,0.750020528,0.91536907,0.930370749,TRUE,FALSE,FALSE,FALSE
207,8.6,8.64393,TRUE,TRUE,,,,1,,,0.035407176,,,,,,9.562,10.178,9.217,9.681,9.279,9.675,9.461,10.36,0.84171666,0.916251748,0.035407176,0.115737896,0.886180925,0.779189589,0.557392742,TRUE,FALSE,TRUE,FALSE
208,8.6,8.64393,TRUE,,,,,1,,,,0.005929434,,,,,8.641,8.786,6.932,7.549,7.827,8.202,8.899,8.593,0.339033685,0.241781105,0.438672259,0.005929434,0.678312912,0.923939324,0.441646596,TRUE,TRUE,FALSE,FALSE
209,8.6,8.64407,TRUE,,,,,1,,,,0.046097685,,,,,10.076,10.499,9.585,9.97,9.691,9.576,9.986,10.569,0.78123405,0.814685037,0.249561856,0.046097685,0.718471238,0.595713427,0.526928534,TRUE,FALSE,FALSE,FALSE
211,8.6,8.64422,TRUE,,,,,1,,,,0.018680396,,,,,8.999,9.623,7.871,8.702,8.659,9.118,9.462,9.604,0.246253022,0.504590059,0.091070501,0.018680396,0.540508458,0.953576925,0.695872652,TRUE,FALSE,FALSE,FALSE
213,8.6,8.64447,TRUE,,,,,1,,,,0.039345939,,,,,9.841,10.26,9.408,9.414,9.458,9.834,9.99,10.317,0.552229256,0.773703999,0.258951032,0.039345939,0.794815806,0.658049418,0.739322476,TRUE,FALSE,FALSE,FALSE
215,8.6,8.64462,TRUE,TRUE,,,,1,,,0.034486715,,,,,,10.797,11.191,10.396,10.823,10.473,10.769,10.428,11.162,0.747172526,0.693709439,0.034486715,0.173312793,0.851182582,0.600493958,0.636461872,TRUE,FALSE,TRUE,FALSE
216,8.6,8.6447,TRUE,,,,,1,,,,0.045711184,,,,,7.795,7.692,7.041,7.249,7.272,7.189,8.188,8.119,0.582525872,0.739508565,0.937084906,0.045711184,0.860536353,0.817590752,0.842142632,TRUE,FALSE,FALSE,FALSE
217,8.6,8.64489,TRUE,TRUE,,,,2,,,0.027045994,0.024344584,,,,,12.107,12.441,11.85,12.13,11.811,12.071,12.152,12.34,0.725519871,0.965032575,0.027045994,0.024344584,0.749875121,0.803156837,0.969755946,TRUE,FALSE,TRUE,FALSE
219,8.6,8.64493,TRUE,TRUE,,,,2,,,0.039100368,0.030802279,,,,,10.807,10.797,10.104,10.857,10.313,10.74,10.885,11.181,0.483765185,0.636907501,0.039100368,0.030802279,0.993349564,0.356146446,0.231468988,TRUE,FALSE,TRUE,FALSE
220,8.6,8.64533,TRUE,,,,,1,,,,0.038345474,,,,,11.392,11.731,11.085,11.366,11.104,11.382,11.448,11.667,0.988156585,0.916199855,0.053274641,0.038345474,0.848079998,0.845934531,0.998598807,TRUE,FALSE,FALSE,FALSE
221,8.6,8.64533,TRUE,,,,,1,,,,0.040491702,,,,,8.686,8.459,7.92,8.436,8.007,7.926,8.848,9.444,0.686184769,0.319200956,0.565009599,0.040491702,0.922605662,0.357539753,0.965285126,TRUE,FALSE,FALSE,FALSE
223,8.6,8.6479,TRUE,TRUE,,,,1,,,0.032105087,,,,,,10.24,10.89,9.693,10.353,10.055,10.449,10.509,10.946,0.448399511,0.885944663,0.032105087,0.055061756,0.638656495,0.961173862,0.975263173,TRUE,FALSE,TRUE,FALSE
231,8.7,8.65013,TRUE,,oxalic acid,,,1,,,,0.045619953,,,,,11.161,11.363,10.012,10.943,10.403,10.732,10.698,11.123,0.640476897,0.406376755,0.071483598,0.045619953,0.72129839,0.433570259,0.565544812,TRUE,FALSE,FALSE,FALSE
234,8.7,8.65042,TRUE,TRUE,oxalic acid,,,1,,,0.032943211,,,,,,13.979,14.242,13.77,14.132,13.665,13.934,13.971,13.995,0.197119802,0.964199671,0.032943211,0.159659101,0.501685631,0.781265922,0.452129011,TRUE,FALSE,TRUE,FALSE
235,8.7,8.65064,TRUE,,oxalic acid,,,1,,,,0.028804166,,,,,8.907,9.054,8.452,7.818,8.292,8.828,9.063,9.517,0.321401773,0.835673871,0.676888371,0.028804166,0.300762649,0.528209707,0.626648745,TRUE,FALSE,FALSE,FALSE
236,8.7,8.65066,TRUE,,oxalic acid,,,1,,,,0.010107382,,,,,10.291,10.802,9.932,9.521,9.804,9.724,10.091,10.826,0.935630002,0.82659026,0.495160478,0.010107382,0.691269696,0.859418741,0.145008279,TRUE,FALSE,FALSE,FALSE
238,8.7,8.65118,TRUE,TRUE,oxalic acid,,,2,,,0.026617344,0.035292405,,,,,11.636,12.004,11.275,11.686,11.316,11.587,11.651,11.892,0.779264603,0.926443944,0.026617344,0.035292405,0.660440622,0.977639272,0.903998063,TRUE,FALSE,TRUE,FALSE
237,8.7,8.65118,TRUE,,oxalic acid,,,1,,,,0.033238411,,,,,11.751,12.102,11.535,11.663,11.524,11.81,11.812,12.074,0.761856668,0.841280426,0.053762932,0.033238411,0.898578575,0.640237483,0.718148747,TRUE,FALSE,FALSE,FALSE
239,8.7,8.65118,TRUE,,oxalic acid,,,1,,,,0.047223168,,,,,8.638,8.935,7.846,8.381,8.034,8.446,8.614,9.125,0.757199192,0.929299047,0.150612707,0.047223168,0.951083957,0.789242303,0.914430636,TRUE,FALSE,FALSE,FALSE
242,8.7,8.65139,TRUE,,oxalic acid,,,1,,,,0.040150195,,,,,11.437,11.881,11.138,11.542,11.172,11.07,11.486,11.791,0.515586134,0.636863234,0.162234594,0.040150195,0.389279939,0.670967538,0.577672408,TRUE,FALSE,FALSE,FALSE
243,8.7,8.65142,TRUE,TRUE,oxalic acid,,,2,,,0.028779809,0.024406584,,,,,11.074,11.508,10.693,11.079,10.71,11.031,11.115,11.403,0.867148973,0.936659019,0.028779809,0.024406584,0.758092432,0.905317036,0.981778121,TRUE,FALSE,TRUE,FALSE
244,8.7,8.65148,TRUE,,oxalic acid,,,1,,,,0.015514656,,,,,12.105,12.339,11.637,11.995,11.66,11.884,11.98,12.188,0.496960714,0.702360436,0.056492117,0.015514656,0.780885045,0.838815808,0.805621333,TRUE,FALSE,FALSE,FALSE
